1000268201_693b08cb0e	[{"caption": "A child in a pink dress is climbing up a set of stairs in an entry way ."}]
1000268201_693b08cb0e	[{"caption": "A girl going into a wooden building ."}]
1000268201_693b08cb0e	[{"caption": "A little girl climbing into a wooden playhouse ."}]
1000268201_693b08cb0e	[{"caption": "A little girl climbing the stairs to her playhouse ."}]
1000268201_693b08cb0e	[{"caption": "A little girl in a pink dress going into a wooden cabin ."}]
1001773457_577c3a7d70	[{"caption": "A black dog and a spotted dog are fighting"}]
1001773457_577c3a7d70	[{"caption": "A black dog and a tri-colored dog playing with each other on the road ."}]
1001773457_577c3a7d70	[{"caption": "A black dog and a white dog with brown spots are staring at each other in the street ."}]
1001773457_577c3a7d70	[{"caption": "Two dogs of different breeds looking at each other on the road ."}]
1001773457_577c3a7d70	[{"caption": "Two dogs on pavement moving toward each other ."}]
1002674143_1b742ab4b8	[{"caption": "A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl ."}]
1002674143_1b742ab4b8	[{"caption": "A little girl is sitting in front of a large painted rainbow ."}]
1002674143_1b742ab4b8	[{"caption": "A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it ."}]
1002674143_1b742ab4b8	[{"caption": "There is a girl with pigtails sitting in front of a rainbow painting ."}]
1002674143_1b742ab4b8	[{"caption": "Young girl with pigtails painting outside in the grass ."}]
1003163366_44323f5815	[{"caption": "A man lays on a bench while his dog sits by him ."}]
1003163366_44323f5815	[{"caption": "A man lays on the bench to which a white dog is also tied ."}]
1003163366_44323f5815	[{"caption": "a man sleeping on a bench outside with a white and black dog sitting next to him ."}]
1003163366_44323f5815	[{"caption": "A shirtless man lies on a park bench with his dog ."}]
1003163366_44323f5815	[{"caption": "man laying on bench holding leash of dog sitting on ground"}]
1007129816_e794419615	[{"caption": "A man in an orange hat starring at something ."}]
1007129816_e794419615	[{"caption": "A man wears an orange hat and glasses ."}]
1007129816_e794419615	[{"caption": "A man with gauges and glasses is wearing a Blitz hat ."}]
1007129816_e794419615	[{"caption": "A man with glasses is wearing a beer can crocheted hat ."}]
1007129816_e794419615	[{"caption": "The man with pierced ears is wearing glasses and an orange hat ."}]
1007320043_627395c3d8	[{"caption": "A child playing on a rope net ."}]
1007320043_627395c3d8	[{"caption": "A little girl climbing on red roping ."}]
1007320043_627395c3d8	[{"caption": "A little girl in pink climbs a rope bridge at the park ."}]
1007320043_627395c3d8	[{"caption": "A small child grips onto the red ropes at the playground ."}]
1007320043_627395c3d8	[{"caption": "The small child climbs on a red ropes on a playground ."}]
1009434119_febe49276a	[{"caption": "A black and white dog is running in a grassy garden surrounded by a white fence ."}]
1009434119_febe49276a	[{"caption": "A black and white dog is running through the grass ."}]
1009434119_febe49276a	[{"caption": "A Boston terrier is running in the grass ."}]
1009434119_febe49276a	[{"caption": "A Boston Terrier is running on lush green grass in front of a white fence ."}]
1009434119_febe49276a	[{"caption": "A dog runs on the green grass near a wooden fence ."}]
1012212859_01547e3f17	[{"caption": "A dog shakes its head near the shore , a red ball next to it ."}]
1012212859_01547e3f17	[{"caption": "A white dog shakes on the edge of a beach with an orange ball ."}]
1012212859_01547e3f17	[{"caption": "Dog with orange ball at feet , stands on shore shaking off water"}]
1012212859_01547e3f17	[{"caption": "White dog playing with a red ball on the shore near the water ."}]
1012212859_01547e3f17	[{"caption": "White dog with brown ears standing near water with head turned to one side ."}]
1015118661_980735411b	[{"caption": "A boy smiles in front of a stony wall in a city ."}]
1015118661_980735411b	[{"caption": "A little boy is standing on the street while a man in overalls is working on a stone wall ."}]
1015118661_980735411b	[{"caption": "A young boy runs aross the street ."}]
1015118661_980735411b	[{"caption": "A young child is walking on a stone paved street with a metal pole and a man behind him ."}]
1015118661_980735411b	[{"caption": "Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him ."}]
1015584366_dfcec3c85a	[{"caption": "A black dog leaps over a log ."}]
1015584366_dfcec3c85a	[{"caption": "A grey dog is leaping over a fallen tree ."}]
1015584366_dfcec3c85a	[{"caption": "A large black dog leaps a fallen log ."}]
1015584366_dfcec3c85a	[{"caption": "A mottled black and grey dog in a blue collar jumping over a fallen tree ."}]
1015584366_dfcec3c85a	[{"caption": "The black dog jumped the tree stump ."}]
101654506_8eb26cfb60	[{"caption": "A brown and white dog is running through the snow ."}]
101654506_8eb26cfb60	[{"caption": "A dog is running in the snow"}]
101654506_8eb26cfb60	[{"caption": "A dog running through snow ."}]
101654506_8eb26cfb60	[{"caption": "a white and brown dog is running through a snow covered field ."}]
101654506_8eb26cfb60	[{"caption": "The white and brown dog is running over the surface of the snow ."}]
101669240_b2d3e7f17b	[{"caption": "A man in a hat is displaying pictures next to a skier in a blue hat ."}]
101669240_b2d3e7f17b	[{"caption": "A man skis past another man displaying paintings in the snow ."}]
101669240_b2d3e7f17b	[{"caption": "A person wearing skis looking at framed pictures set up in the snow ."}]
101669240_b2d3e7f17b	[{"caption": "A skier looks at framed pictures in the snow next to trees ."}]
101669240_b2d3e7f17b	[{"caption": "Man on skis looking at artwork for sale in the snow"}]
1016887272_03199f49c4	[{"caption": "A collage of one person climbing a cliff ."}]
1016887272_03199f49c4	[{"caption": "A group of people are rock climbing on a rock climbing wall ."}]
1016887272_03199f49c4	[{"caption": "A group of people climbing a rock while one man belays"}]
1016887272_03199f49c4	[{"caption": "Seven climbers are ascending a rock face whilst another man stands holding the rope ."}]
1016887272_03199f49c4	[{"caption": "Several climbers in a row are climbing the rock while the man in red watches and holds the line ."}]
1019077836_6fc9b15408	[{"caption": "A brown dog chases the water from a sprinkler on a lawn ."}]
1019077836_6fc9b15408	[{"caption": "a brown dog plays with the hose ."}]
1019077836_6fc9b15408	[{"caption": "A brown dog running on a lawn near a garden hose"}]
1019077836_6fc9b15408	[{"caption": "A dog is playing with a hose ."}]
